display_item	analysis	responsible_code	principal_inputs_or_outputs	status_or_note
Fig. 1A	Native/designed sequence schematic	01_native_mutated_motif_analysis.R	ONSEN_49bp_sequences.fasta; ONSEN_HSE_units_and_substitutions.csv	covered
Fig. 1B	TF-family non-redundant motif-coordinate placements	01_native_mutated_motif_analysis.R	corrected exact-coordinate family summary; native HSF=20, designed HSF=0	covered; final metric
Fig. 2A-D	Motif-model best-score profiles	01_native_mutated_motif_analysis.R	JASPAR model best relative scores	covered; model-level profiles are not independent binding-site counts
Fig. 3A-B	Col-0 terminal-window non-redundant HSF placements	03_col0_HSF_and_TE_background.R	physical-forward exact-coordinate outputs	covered; final counts 33-49/window
Fig. 3C-D	Broad strict non-ONSEN TE comparison/outliers	03_col0_HSF_and_TE_background.R	16 ONSEN windows; final 1,930-region strict non-ONSEN TE universe	covered
Fig. 4A	Direct basal methylation comparator	05_methylation_analysis.R	ONSEN elements versus annotation-defined non-ONSEN LTR-retrotransposons	covered; public unstressed Col-0 leaf methylome
Fig. 4B	Selected three-context methylation heatmap	05_methylation_analysis.R	six fixed outliers with complete CG/CHG/CHH values	covered; six of eight fixed outliers displayed
Fig. 4C	HSF motif-density class comparison	03_col0_HSF_and_TE_background.R	ONSEN terminal windows versus strict TE background	covered; motif-density comparison, not a CHH relationship
Fig. 4D	Window-level basal CHH profiles	05_methylation_analysis.R	ONSEN terminal candidate windows and fixed HSF-rich non-ONSEN subset	covered
Fig. 5A	Canonical heat-response gene markers	06_rnaseq_analysis.R	complete-TAIR10 gene counts; DESeq2/VST	covered
Fig. 5B	ONSEN terminal-window fractional CPM	06_rnaseq_analysis.R	16 curated ONSEN terminal candidate windows	covered; candidate-window signal
Fig. 5C	Candidate-window heat-associated signal	06_rnaseq_analysis.R	16 ONSEN windows; 2 additional ATCOPIA78 regions; fixed 8 non-ONSEN regions	covered; x=log2(mean HS CPM+1)
Fig. 5D	Genome-wide gene volcano	06_rnaseq_analysis.R	25,911 raw gene P values; 23,922 non-missing BH-adjusted P values	covered; DESeq2 independent filtering
Fig. 5E	Genome-wide TE volcano	06_rnaseq_analysis.R	31,189 annotated TEs; 2,101 statistically tested after expression filtering	covered; limma-voom
Fig. 6	Natural 49-bp seed variants	07_accession_analysis.R	natural seed-variant sequences	covered
Fig. 7A-B	Natural distinct TF-family PWM-model summaries	07_accession_analysis.R	natural variant PWM-model identity summaries	covered; not independent motif-site counts
Fig. 7C	Sequence identity relative to Col-0	07B_figure7_identity_and_logo_workflow.R	source_data/Figure7_variant_metrics.tsv	covered
Fig. 7D	Representative HSF and DOF JASPAR logos	07B_figure7_identity_and_logo_workflow.R	motifs/MA1667.2_HSFC1.jaspar; motifs/MA0981.2_DOF1.8.jaspar	covered; illustrative logos
Fig. S1	Principal exact-coordinate versus strict overlap-merged HSF regions	04_nonredundant_HSF_locations.R	corrected Col-0 terminal-window HSF predictions	covered
Fig. S2	Threshold sensitivity and continuous regional scores	03B_threshold_and_continuous_sensitivity.R	16 ONSEN windows; final 1,930-region strict non-ONSEN TE universe	covered
Fig. S3	Additional accession HSE architecture and HSF-model compatibility	07_accession_analysis.R	accession candidate/architecture summaries	covered
Fig. S4	Accession candidate abundance, HSF density and structural proxies	07_accession_analysis.R	accession candidate/proxy summaries; Ler=6 paired and 3 unpaired	covered
Table S1	Native/designed motif effects and family-level non-redundant placements	01_native_mutated_motif_analysis.R	final corrected family exact-coordinate summary	final audited workbook
Table S2	HSF PWM models below threshold	01_native_mutated_motif_analysis.R	HSF model-level best scores	final audited workbook
Table S3	HSF constrained-mutant/exact-GC robustness	02_constrained_mutant_sensitivity.R	5,000 constrained mutants; 5,119 exact-GC alternatives plus selected design	final audited workbook
Table S4	Col-0 terminal-window HSF placement summary	03_col0_HSF_and_TE_background.R	16 curated windows; 33-49 placements/window	final audited workbook
Table S5	Principal placements and strict-overlap sensitivity	04_nonredundant_HSF_locations.R	principal exact-coordinate and strict overlap-merged summaries	final audited workbook
Table S6	Broad strict non-ONSEN TE background comparison	03_col0_HSF_and_TE_background.R	16 ONSEN windows versus 1,930 background regions	final audited workbook
Table S7	Threshold and continuous-score sensitivity	03B_threshold_and_continuous_sensitivity.R	0.80/0.85/0.90/0.95 and continuous metrics	final audited workbook
Table S8	Direct LTR-retrotransposon methylation comparison	05_methylation_analysis.R	direct element/copy comparator plus window/broad-TE sensitivity controls	final audited workbook
Table S9	Genome-wide gene and TE differential expression	06_rnaseq_analysis.R	all-gene DESeq2 and all-TE limma-voom results	final audited workbook; editor-requested
Table S10	Candidate-window RNA-seq summary	06_rnaseq_analysis.R	fractional multimapping-aware candidate-window CPM data	final audited workbook
Table S11	Natural-accession candidate/proxy summary	07_accession_analysis.R	candidate counts; HSF densities; paired HSE/LTR proxies	final audited workbook
Table S12	Natural seed variants	07_accession_analysis.R	49-bp seed mismatch/HSE-unit summary	final audited workbook
Table S13	Natural distinct TF-family PWM-model summary	07_accession_analysis.R	distinct PWM model identities per variant seed	final audited workbook
