Table S4. Constrained-mutant sensitivity and exact-GC control for the in-silico-designed 49-bp ONSEN HSE-disrupted sequence.

Comparison space	Relative PWM-score threshold	TF family	Number of comparator sequences	Designed-sequence motif-position hits	Comparator 2.5th percentile	Comparator median	Comparator 97.5th percentile	Comparator maximum	Empirical midrank percentile (%)	Empirical upper-tail P	Empirical lower-tail P	Interpretation
Constrained random mutants with variable GC content	0.8	HSF	5000	0	0	0	2	5	39.29	1	0.785842831433713	No HSF-family motif-position hits were detected in the designed sequence; the comparator distribution was also concentrated at or near zero.
Constrained random mutants with variable GC content	0.8	AP2/ERF	5000	121	16	29	95	156	99.6	0.00479904019196161	0.996600679864027	The designed sequence was in the upper tail of this comparator distribution.
Constrained random mutants with variable GC content	0.8	DOF	5000	65	49	66	91	126	45.76	0.565686862627474	0.480903819236153	The designed-sequence value was below the comparator median but was not statistically exceptional in the corresponding empirical tail test.
Constrained random mutants with variable GC content	0.85	HSF	5000	0	0	0	0	1	49.18	1	0.983603279344131	No HSF-family motif-position hits were detected in the designed sequence; the comparator distribution was also concentrated at or near zero.
Constrained random mutants with variable GC content	0.85	AP2/ERF	5000	61	3	7	43	95	98.36	0.0165966806638672	0.983603279344131	The designed sequence was in the upper tail of this comparator distribution.
Constrained random mutants with variable GC content	0.85	DOF	5000	33	32	40	54.0249999999996	74	6.12	0.961607678464307	0.0841831633673265	The designed-sequence value was below the comparator median but was not statistically exceptional in the corresponding empirical tail test.
Constrained random mutants with variable GC content	0.9	HSF	5000	0	0	0	0	0	50	1	1	No HSF-family motif-position hits were detected in the designed sequence; the comparator distribution was also concentrated at or near zero.
Constrained random mutants with variable GC content	0.9	AP2/ERF	5000	14	1	2	9	32	98.26	0.0175964807038592	0.982603479304139	The designed sequence was in the upper tail of this comparator distribution.
Constrained random mutants with variable GC content	0.9	DOF	5000	12	12	12	23	35	33.32	1	0.666466706658668	The designed-sequence value was not statistically exceptional within this comparator distribution.
Constrained random mutants with variable GC content	0.95	HSF	5000	0	0	0	0	0	50	1	1	No HSF-family motif-position hits were detected in the designed sequence; the comparator distribution was also concentrated at or near zero.
Constrained random mutants with variable GC content	0.95	AP2/ERF	5000	3	0	0	2	3	99.18	0.0165966806638672	1	The designed sequence was in the upper tail of this comparator distribution.
Constrained random mutants with variable GC content	0.95	DOF	5000	10	10	10	18	25	37.59	1	0.751849630073985	The designed-sequence value was not statistically exceptional within this comparator distribution.
Complete exact-GC constrained design space	0.8	HSF	5119	0	0	0	0	0	50	1	1	No HSF-family motif-position hits were detected in the designed sequence; HSF loss was also retained across the valid exact-GC constrained designs.
Complete exact-GC constrained design space	0.8	AP2/ERF	5119	121	27	64	158	218	86.4817347138113	0.138671875	0.8681640625	The designed-sequence value exceeded the comparator median but was not statistically exceptional in the corresponding empirical tail test.
Complete exact-GC constrained design space	0.8	DOF	5119	65	47	57	67	73	93.0552842352022	0.080859375	0.941796875	The designed-sequence value exceeded the comparator median but was not statistically exceptional in the corresponding empirical tail test.
Complete exact-GC constrained design space	0.85	HSF	5119	0	0	0	0	0	50	1	1	No HSF-family motif-position hits were detected in the designed sequence; HSF loss was also retained across the valid exact-GC constrained designs.
Complete exact-GC constrained design space	0.85	AP2/ERF	5119	61	6	19	87	121	85.3682359835906	0.14921875	0.8564453125	The designed-sequence value exceeded the comparator median but was not statistically exceptional in the corresponding empirical tail test.
Complete exact-GC constrained design space	0.85	DOF	5119	33	30	35	38	38	43.1236569642508	0.6375	0.5	The designed-sequence value was below the comparator median but was not statistically exceptional in the corresponding empirical tail test.
Complete exact-GC constrained design space	0.9	HSF	5119	0	0	0	0	0	50	1	1	No HSF-family motif-position hits were detected in the designed sequence; HSF loss was also retained across the valid exact-GC constrained designs.
Complete exact-GC constrained design space	0.9	AP2/ERF	5119	14	1	5	30	34	84.2254346552061	0.160546875	0.844921875	The designed-sequence value exceeded the comparator median but was not statistically exceptional in the corresponding empirical tail test.
Complete exact-GC constrained design space	0.9	DOF	5119	12	12	12	12	12	50	1	1	The designed-sequence value was not statistically exceptional within this comparator distribution.
Complete exact-GC constrained design space	0.95	HSF	5119	0	0	0	0	0	50	1	1	No HSF-family motif-position hits were detected in the designed sequence; HSF loss was also retained across the valid exact-GC constrained designs.
Complete exact-GC constrained design space	0.95	AP2/ERF	5119	3	0	0	3	3	92.508302402813	0.15	1	The designed-sequence value exceeded the comparator median but was not statistically exceptional in the corresponding empirical tail test.
Complete exact-GC constrained design space	0.95	DOF	5119	10	10	10	10	10	50	1	1	The designed-sequence value was not statistically exceptional within this comparator distribution.
