Table S7F. Revised analysis definitions and quality-control information.	
	
Item	Value
Primary HSF count definition	Exact coordinate-unique placements: predictions with identical 1-based start-end coordinates are collapsed across HSF PWM models and strands; different coordinates remain separate.
PWM-score thresholds	0.80, 0.85, 0.90, 0.95
Final ONSEN terminal windows	16
Final strict non-ONSEN TE background regions	1930
Continuous-score ONSEN handling	The original continuous-score analysis already used the same curated set of 16 ONSEN terminal windows. Their legacy region IDs differ from the revised threshold-analysis IDs, so the 16 original ONSEN score rows were retained without ID-based joining.
Continuous-score background handling	Background continuous-score rows were restricted by region ID to the revised final 1,930-region strict non-ONSEN TE background.
Old background regions removed	12
Final continuous-score universe	16 ONSEN terminal windows + 1,930 strict non-ONSEN TE background regions.
