item_type	pre_final_item	final_item	description	status
Supplementary figure	Fig. S1 (strict-overlap/principal comparison)	Fig. S1	Principal non-redundant HSF motif-coordinate placements versus strict overlap-merged HSF regions	retained
Supplementary figure	Fig. S2 (threshold/continuous)	Fig. S2	HSF threshold sensitivity and continuous regional-score analysis	retained
Supplementary figure	Fig. S3 (accession architecture)	Fig. S3	Additional accession HSE architecture and HSF-model compatibility	retained
Supplementary figure	Fig. S4 (accession abundance/proxies)	Fig. S4	Accession candidate abundance, HSF density and structural proxies	retained
Supplementary figure	AP2/ERF-focused supplementary figure	DELETED	AP2/ERF-focused supplementary analysis removed/de-emphasized for final revision	deleted
Supplementary table	Table S1	Table S1	Native-versus-designed motif effects and family-level non-redundant placements	retained
Supplementary table	Table S2	Table S2	HSF PWM models below threshold in designed sequence	retained
Supplementary table	Table S3	DELETED	AP2/ERF-only motif-model table removed from final package	deleted
Supplementary table	Table S4	Table S3	HSF-focused constrained-mutant and exact-GC robustness control	renumbered
Supplementary table	Table S5	Table S4	Col-0 terminal-window non-redundant HSF motif-coordinate summary	renumbered
Supplementary table	Table S6	Table S5	Principal exact-coordinate HSF placements and strict overlap sensitivity	renumbered
Supplementary table	Table S7	Table S6	Broad strict non-ONSEN TE background comparison	renumbered
Supplementary table	Table S8	Table S7	Threshold sensitivity and continuous HSF-score analysis	renumbered
Supplementary table	Table S9	Table S8	Direct non-ONSEN LTR-retrotransposon methylation comparison and controls	renumbered
Supplementary table	Table S10	Table S9	Corrected complete-TAIR10 candidate-window RNA-seq summary	renumbered
Supplementary table	Table S11	Table S10	Natural-accession candidate abundance, HSF density and structural proxies	renumbered
Supplementary table	Table S12	Table S11	Natural 49-bp ONSEN-like HSE seed-variant summary	renumbered
Supplementary table	Table S13	Table S12	Natural seed-variant distinct TF-family PWM-model summary	renumbered
Supplementary table	Table S14 (published accession evidence)	Table S13	Published accession-evidence comparison	renumbered
Supplementary table	NEW global gene/TE DE	Table S14	Genome-wide gene and transposable-element differential expression after 24-h 37°C heat stress	new editor-requested table
